Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;2.5;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;3.4;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;5.1;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;11.1;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;14.3;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;16.7;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;14.2;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;11.3;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;7.3;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;1.7;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;-1.0;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;1.9;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;4.0;Y
